Player Name,Photo,Nationship,Nation Image,Age,Date Born,Team,Team Image,Propietary Team,Competition,Position,2ª Position,Foot,Heigh,Profile Main Characteristic,Season,Contract End Date,Market Value (M),Matches Played,Minutes,Start Line UP %,Matches Index,Conditional index,Goal Involment Index,Passing Index,Technical Skills Index,Offensive Index,Defensive index,Performance Index,xPerformance Index,Scouting Index
Abdul Issahaku Fatawu ,https://cdn.resfu.com/img_data/players/medium/3132635.jpg?size=180x&lossy=1,Ghana,https://capology-e6a3.kxcdn.com/static/images/flags/ghana.svg,20,2004,Leicester,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leicester.svg,Sporting CP,Championship,RW,FW,Left,177,Changed Leg Right Winger ,2023-2024,2027,6.5,41,2805,77,77,69,52,78,71,76,83,70,79,80
Adam Hložek ,https://cdn.resfu.com/img_data/players/medium/502294.jpg?size=180x&lossy=1,Czech Republic,https://capology-e6a3.kxcdn.com/static/images/flags/czech-republic.svg,21,2002,B.Leverkusen,https://capology-e6a3.kxcdn.com/static/images/logos/de/bayer-leverkusen.svg,B.Leverkusen,Bundesliga,FW,LW,Right,180,Inside Left Winger ,2023-2024,2027,28.7,32,815,28,72,53,70,82,72,70,71,78,80,90
Adam Wharton,https://cdn.resfu.com/img_data/players/medium/917052.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2004,Crystal Palace,https://capology-e6a3.kxcdn.com/static/images/logos/uk/crystal-palace.svg,Crystal Palace,Premier League,CMF,DMF,Left,182,Defensive Technical Midfielder,2023-2024,2029,7.5,11,865,91,77,87,65,76,71,85,77,71,82,90
Adrion Pajaziti,https://cdn.resfu.com/img_data/players/medium/807149.jpg?size=180x&lossy=1,Albania,https://capology-e6a3.kxcdn.com/static/images/flags/albania.svg,21,2002,Fulham,https://capology-e6a3.kxcdn.com/static/images/logos/uk/fulham.svg,Fulham,Premier League,AMF,LMF,Left,180,Attacking Left Midfielder,2023-2024,2025,0.128,20,1534,85,88,53,90,70,55,82,79,56,68,70
Agustín Ruberto ,https://cdn.resfu.com/img_data/players/medium/3221607.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,18,2006,River Plate,https://capology-e6a3.kxcdn.com/static/images/logos/ar/river-plate.svg,River Plate,Primera Division Arg.,CF,AMF,Right,185,Finisher Centre Foward,2023-2024,2027,2.0,8,152,10,62,56,85,55,62,39,40,57,60,50
Alan Matturro,https://cdn.resfu.com/img_data/players/medium/907094.jpg?size=180x&lossy=1,Uruguay,https://capology-e6a3.kxcdn.com/static/images/flags/uruguay.svg,19,2004,Genoa,https://capology-e6a3.kxcdn.com/static/images/logos/it/genoa.svg,Genoa,Serie A,CB,LB,Left,189,Technical Left CenterBack,2023-2024,2026,2.7,7,240,43,83,88,60,67,60,70,70,55,71,70
Alan Minda,https://cdn.resfu.com/img_data/players/medium/979119.jpg?size=180x&lossy=1,Ecuador,https://capology-e6a3.kxcdn.com/static/images/flags/ecuador.svg,20,2003,Cercle Brugge,https://capology-e6a3.kxcdn.com/static/images/logos/be/cercle-brugges.svg,Cercle Brugge,Belgium Pro League,RW,LW,Right,171,Combinative Win Foward,2023-2024,2028,3.6,35,1919,66,50,30,70,81,72,60,65,70,80,80
Alan Varela,https://cdn.resfu.com/img_data/players/medium/902920.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,22,2001,FC Porto,https://capology-e6a3.kxcdn.com/static/images/logos/pt/porto.svg,FC Porto,Primeira Liga ,DMF,CMF,Right,177,Technical Defensive Midfielder,2023-2024,2028,20.6,40,3048,92,81,61,45,75,80,56,70,80,85,90
Alberto Moleiro,https://cdn.resfu.com/img_data/players/medium/908854.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,20,2003,Las Palmas,https://capology-e6a3.kxcdn.com/static/images/logos/es/las-palmas.svg,Las Palmas,La Liga,AMF,LW,Right,171,Dribbler Attacking Midfielder,2023-2024,2026,11.6,26,1477,65,70,30,50,70,71,60,65,71,80,90
Alejandro Garnacho,https://cdn.resfu.com/img_data/players/medium/879635.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,19,2004,Manchester United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/manchester-united.svg,Manchester United,Premier League,LW,RW,Right,180,Changed Leg Left Winger,2023-2024,2028,38.1,45,3102,80,65,40,75,72,81,80,80,81,94,100
Alemão João Victor,https://cdn.resfu.com/img_data/players/medium/913732.jpg?size=180x&lossy=1,Brazil,https://capology-e6a3.kxcdn.com/static/images/flags/brazil.svg,21,2002,Portimonense,https://capology-e6a3.kxcdn.com/static/images/logos/pt/portimonense.svg,Portimonense,Primeira Liga ,CB,LCB,Right,194,Technical CenterBack ,2023-2024,2027,0.646,29,2535,100,84,68,90,65,65,55,75,57,70,70
Alex Baena,https://cdn.resfu.com/img_data/players/medium/872213.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,22,2001,Villarreal,https://capology-e6a3.kxcdn.com/static/images/logos/es/villarreal.svg,Villarreal,La Liga,AMF,LW,Right,174,Dribbler Attacking Midfielder,2023-2024,2028,33.5,41,2774,85,74,31,80,83,81,76,55,81,86,100
Álex Jiménez,https://cdn.resfu.com/img_data/players/medium/918991.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,18,2005,AC Milan,https://capology-e6a3.kxcdn.com/static/images/logos/it/ac-milan.svg,Real Madrid,Serie A,RB,LB,Right,177,Offensive Winger Back,2023-2024,2027,0.112,5,2027,40,71,47,65,76,55,60,71,50,70,60
Alex Scott ,https://cdn.resfu.com/img_data/players/medium/1019973.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2003,Bournemouth,https://capology-e6a3.kxcdn.com/static/images/logos/uk/bournemouth.svg,Bournemouth,Premier League,CMF,DMF,Right,178,Playmaker Centre Midfielder,2023-2024,2025,18.1,24,1254,58,82,45,60,70,73,66,68,70,80,90
